feature,model_type,formula,n_segments,n_patients,beta_Class,se_Class,ci_low_Class,ci_high_Class,p_value_Class,converged,warning,main_lmm_beta_Class,main_lmm_p_value_Class,main_lmm_global_bh_fdr_p_value,main_lmm_converged,adjusted_direction_agrees_with_main_lmm
kurtosis,rhythm_adjusted,z__kurtosis ~ Class + C(rhythm_group),1260,20,0.011771755475178752,0.054392146522159415,-0.09483489275007925,0.11837840370043676,0.8286574099027719,True,Random effects covariance is singular,0.011690975593518444,0.829802162962647,0.8629942494811528,True,True
kurtosis,atypical_HI_adjusted,z__kurtosis ~ Class + atypical_HI,1260,20,0.011243265767079505,0.05438597226857655,-0.09535128114352467,0.11783781267768367,0.8362199554041554,True,Random effects covariance is singular,0.011690975593518444,0.829802162962647,0.8629942494811528,True,True
kurtosis,mechanical_support_adjusted,z__kurtosis ~ Class + mechanical_support,1260,20,0.011718683656666099,0.05438801145538423,-0.09487985998663888,0.11831722729997109,0.8294052161454646,True,Random effects covariance is singular,0.011690975593518444,0.829802162962647,0.8629942494811528,True,True
HRV_MeanNN,rhythm_adjusted,z__HRV_MeanNN ~ Class + C(rhythm_group),1259,20,0.1532182010462243,0.05109871249439865,0.05306656490083607,0.25336983719161255,0.0027133460627988297,True,Random effects covariance is singular,0.15256919182500958,0.002828722258428909,0.00525334133708226,True,True
HRV_MeanNN,atypical_HI_adjusted,z__HRV_MeanNN ~ Class + atypical_HI,1259,20,0.15163351723105234,0.05109500542815581,0.05148914680198839,0.2517778876601163,0.0030005860879347966,True,Random effects covariance is singular,0.15256919182500958,0.002828722258428909,0.00525334133708226,True,True
HRV_MeanNN,mechanical_support_adjusted,z__HRV_MeanNN ~ Class + mechanical_support,1259,20,0.15259276475807898,0.05109862861986009,0.05244129300376556,0.2527442365123924,0.00282430962544378,True,Random effects covariance is singular,0.15256919182500958,0.002828722258428909,0.00525334133708226,True,True
entropyProfiled_maximum_sampleEntropy,rhythm_adjusted,z__entropyProfiled_maximum_sampleEntropy ~ Class + C(rhythm_group),1260,20,-0.2622350634833471,0.03128979127142588,-0.32356192745911755,-0.2009081995075766,5.254659912755813e-17,True,,-0.26228006954593724,5.197975533972333e-17,4.504912129442688e-16,True,True
entropyProfiled_maximum_sampleEntropy,atypical_HI_adjusted,z__entropyProfiled_maximum_sampleEntropy ~ Class + atypical_HI,1260,20,-0.26229469611633927,0.03129048142333153,-0.32362291276498867,-0.20096647946768986,5.178374157407256e-17,True,,-0.26228006954593724,5.197975533972333e-17,4.504912129442688e-16,True,True
entropyProfiled_maximum_sampleEntropy,mechanical_support_adjusted,z__entropyProfiled_maximum_sampleEntropy ~ Class + mechanical_support,1260,20,-0.2622741378085421,0.0312903792877122,-0.32360215427505606,-0.2009461213420281,5.206158159270308e-17,True,,-0.26228006954593724,5.197975533972333e-17,4.504912129442688e-16,True,True
HRV_pNN50,rhythm_adjusted,z__HRV_pNN50 ~ Class + C(rhythm_group),1259,20,-0.3799948894746236,0.034804506884496676,-0.4482104694679135,-0.31177930948133376,9.457642276617791e-28,True,,-0.37982660525907186,9.989891259705976e-28,1.2986858637617767e-26,True,True
HRV_pNN50,atypical_HI_adjusted,z__HRV_pNN50 ~ Class + atypical_HI,1259,20,-0.3796753354561729,0.0348045298081931,-0.4478909603790821,-0.31145971053326366,1.0463887449842808e-27,True,,-0.37982660525907186,9.989891259705976e-28,1.2986858637617767e-26,True,True
HRV_pNN50,mechanical_support_adjusted,z__HRV_pNN50 ~ Class + mechanical_support,1259,20,-0.3798358294214632,0.034804909136294394,-0.4480521978137893,-0.3116194610291371,9.95931925318009e-28,True,,-0.37982660525907186,9.989891259705976e-28,1.2986858637617767e-26,True,True
fuzzyEntropy,rhythm_adjusted,z__fuzzyEntropy ~ Class + C(rhythm_group),1260,20,-0.35535770353996554,0.03320543073688578,-0.420439151875401,-0.2902762552045301,9.98257349255858e-27,True,,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True
fuzzyEntropy,atypical_HI_adjusted,z__fuzzyEntropy ~ Class + atypical_HI,1260,20,-0.3551857809456563,0.03320636859774871,-0.42026906745460557,-0.290102494436707,1.0590650837798029e-26,True,,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True
fuzzyEntropy,mechanical_support_adjusted,z__fuzzyEntropy ~ Class + mechanical_support,1260,20,-0.3551944421421726,0.03320462020988858,-0.42027430187388504,-0.2901145824104602,1.0496912374022602e-26,True,,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True
sampleEntropy,rhythm_adjusted,z__sampleEntropy ~ Class + C(rhythm_group),1260,20,-0.3637251028470835,0.03308838611285588,-0.42857714793483626,-0.2988730577593307,4.151200857051064e-28,True,,-0.36368899245396114,4.217735481673714e-28,7.31074150156777e-27,True,True
sampleEntropy,atypical_HI_adjusted,z__sampleEntropy ~ Class + atypical_HI,1260,20,-0.3635959612450071,0.03308940632800865,-0.4284500059177158,-0.29874191657229837,4.350957002050225e-28,True,,-0.36368899245396114,4.217735481673714e-28,7.31074150156777e-27,True,True
sampleEntropy,mechanical_support_adjusted,z__sampleEntropy ~ Class + mechanical_support,1260,20,-0.3635528777564421,0.033087453887392516,-0.42840309571586127,-0.298702659797023,4.382578620733379e-28,True,,-0.36368899245396114,4.217735481673714e-28,7.31074150156777e-27,True,True
fd_median,rhythm_adjusted,z__fd_median ~ Class + C(rhythm_group),1260,20,-0.21915627155549405,0.03165757350166631,-0.28120397545668957,-0.15710856765429854,4.430772376660882e-12,True,,-0.2194916753262454,4.11319781382412e-12,1.782385719323785e-11,True,True
fd_median,atypical_HI_adjusted,z__fd_median ~ Class + atypical_HI,1260,20,-0.2195412556777598,0.03165774944731546,-0.2815893044260909,-0.1574932069294287,4.066967609606918e-12,True,,-0.2194916753262454,4.11319781382412e-12,1.782385719323785e-11,True,True
fd_median,mechanical_support_adjusted,z__fd_median ~ Class + mechanical_support,1260,20,-0.21941493520113242,0.031657614640714545,-0.28146271973338083,-0.157367150668884,4.1824873865553125e-12,True,,-0.2194916753262454,4.11319781382412e-12,1.782385719323785e-11,True,True
fd_mean,rhythm_adjusted,z__fd_mean ~ Class + C(rhythm_group),1260,20,-0.20972034396185102,0.027195025239422674,-0.2630216139897772,-0.15641907393392482,1.2413596556748177e-14,True,,-0.21003104280320284,1.134429828815194e-14,5.899035109839008e-14,True,True
fd_mean,atypical_HI_adjusted,z__fd_mean ~ Class + atypical_HI,1260,20,-0.21005601931093312,0.027194781246024684,-0.2633568111205868,-0.15675522750127946,1.1262006758108577e-14,True,,-0.21003104280320284,1.134429828815194e-14,5.899035109839008e-14,True,True
fd_mean,mechanical_support_adjusted,z__fd_mean ~ Class + mechanical_support,1260,20,-0.209921499927867,0.02719478325978583,-0.26322229568441996,-0.156620704171314,1.1707800404779445e-14,True,,-0.21003104280320284,1.134429828815194e-14,5.899035109839008e-14,True,True
